concept,code,name,level,parent
nace_r2,A,"Agriculture, forestry and fishing",1,NULL
nace_r2,A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),0,NULL
nace_r2,A-T,All NACE activities (except extra-territorial organisations and bodies),0,NULL
nace_r2,A01,"Crop and animal production, hunting and related service activities",2,A
nace_r2,A011,Growing of non-perennial crops,3,A01
nace_r2,A0111,"Growing of cereals (except rice), leguminous crops and oil seeds",4,A011
nace_r2,A0112,Growing of rice,4,A011
nace_r2,A0113,"Growing of vegetables and melons, roots and tubers",4,A011
nace_r2,A0114,Growing of sugar cane,4,A011
nace_r2,A0115,Growing of tobacco,4,A011
nace_r2,A0116,Growing of fibre crops,4,A011
nace_r2,A0119,Growing of other non-perennial crops,4,A011
nace_r2,A012,Growing of perennial crops,3,A01
nace_r2,A0121,Growing of grapes,4,A012
nace_r2,A0122,Growing of tropical and subtropical fruits,4,A012
nace_r2,A0123,Growing of citrus fruits,4,A012
nace_r2,A0124,Growing of pome fruits and stone fruits,4,A012
nace_r2,A0125,Growing of other tree and bush fruits and nuts,4,A012
nace_r2,A0126,Growing of oleaginous fruits,4,A012
nace_r2,A0127,Growing of beverage crops,4,A012
nace_r2,A0128,"Growing of spices, aromatic, drug and pharmaceutical crops",4,A012
nace_r2,A0129,Growing of other perennial crops,4,A012
nace_r2,A013,Plant propagation,3,A01
nace_r2,A0130,Plant propagation,4,A013
nace_r2,A014,Animal production,3,A01
nace_r2,A0141,Raising of dairy cattle,4,A014
nace_r2,A0142,Raising of other cattle and buffaloes,4,A014
nace_r2,A0143,Raising of horses and other equines,4,A014
nace_r2,A0144,Raising of camels and camelids,4,A014
nace_r2,A0145,Raising of sheep and goats,4,A014
nace_r2,A0146,Raising of swine/pigs,4,A014
nace_r2,A0147,Raising of poultry,4,A014
nace_r2,A0149,Raising of other animals,4,A014
nace_r2,A015,Mixed farming,3,A01
nace_r2,A0150,Mixed farming,4,A015
nace_r2,A016,Support activities to agriculture and post-harvest crop activities,3,A01
nace_r2,A0161,Support activities for crop production,4,A016
nace_r2,A0162,Support activities for animal production,4,A016
nace_r2,A0163,Post-harvest crop activities,4,A016
nace_r2,A0164,Seed processing for propagation,4,A016
nace_r2,A017,"Hunting, trapping and related service activities",3,A01
nace_r2,A0170,"Hunting, trapping and related service activities",4,A017
nace_r2,A01_A02,Agriculture and forestry,0,NULL
nace_r2,A01_A02_X_A017,Agriculture and forestry (except hunting),0,NULL
nace_r2,A01_A03_FOOD,"Primary production of food - agriculture, fishing and aquaculture",0,NULL
nace_r2,A01_IRR,Irrigation in agriculture,0,NULL
nace_r2,A02,Forestry and logging,2,A
nace_r2,A021,Silviculture and other forestry activities,3,A02
nace_r2,A0210,Silviculture and other forestry activities,4,A021
nace_r2,A022,Logging,3,A02
nace_r2,A0220,Logging,4,A022
nace_r2,A023,Gathering of wild growing non-wood products,3,A02
nace_r2,A0230,Gathering of wild growing non-wood products,4,A023
nace_r2,A024,Support services to forestry,3,A02
nace_r2,A0240,Support services to forestry,4,A024
nace_r2,A03,Fishing and aquaculture,2,A
nace_r2,A031,Fishing,3,A03
nace_r2,A0311,Marine fishing,4,A031
nace_r2,A0312,Freshwater fishing,4,A031
nace_r2,A032,Aquaculture,3,A03
nace_r2,A0321,Marine aquaculture,4,A032
nace_r2,A0322,Freshwater aquaculture,4,A032
nace_r2,AFT,"Agriculture, fishing and transport (except railways) - AFT",0,NULL
nace_r2,A_B,"Agriculture, forestry and fishing; mining and quarrying",0,NULL
nace_r2,A_C-N,Agriculture; industry and construction (except mining); services of the business economy,0,NULL
nace_r2,A_EP_OTH,"Agriculture, forestry and fishing; other business sectors (mainly A, E38.3, F41 to U except O)",0,NULL
nace_r2,A_F_H-U,All NACE activities (except industry; wholesale and retail trade; repair of motor vehicles and motorcycles),0,NULL
nace_r2,B,Mining and quarrying,1,NULL
nace_r2,B-D,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",0,NULL
nace_r2,B-D_F,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction",0,NULL
nace_r2,B-D_X_FOOD,"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply (except food, beverages and tobacco)",0,NULL
